102	3898	20	35.49
9295	166	3	12.41
200	5007	4	19.44
268	426	8	11.06
1053	2913	4	25.59
246	282	11	10.69
147	6758	3	8
4728	5295	6	81.08
1216	317	9	35.65
2474	255	3	7.53
2714	289	3	9.4
880	2778	3	15.55
5479	2187	3	27.12
132	1246	10	8.51
696	905	4	12.78
107	7659	6	12.6
1240	884	4	16.52
6318	123	4	7.11
2830	103	19	12.49
3887	103	15	12.07
9008	269	3	17.82
110	142	1207	4713.04
327	761	5	9.14
16	13145	3	13.43
180	6989	4	16.96
16584	113	3	12.62
3928	8436	3	36.71
716	103	71	34.72
1574	515	3	9.51
2152	589	3	11.6
1925	12	41	29.49
302	164	16	8.44
995	147	12	14.95
123	5438	6	13.78
106	14630	4	8.82
2250	207	4	9.14
884	116	18	10.54
2742	216	4	11.05
159	200	25	7.35
1709	180	5	7.27
1610	474	3	8.58
3008	508	3	13.05
2174	936	3	14.92
105	535	71	7.66
632	10363	4	36.14
2474	153	8	20.53
124	9875	3	7.79
1332	207	9	24.64
643	203	16	39.37
114	5123	14	58.79
151	212	28	7.3
1615	3366	3	20.68
154	3287	4	6.83
1945	511	4	16.67
1225	1132	3	12.35
508	476	5	9.65
12	821	100	80.94
1530	103	30	8.52
694	2753	3	14.3
538	103	103	68.57
1009	127	13	7.79
4723	214	4	17.11
5395	169	3	8.29
567	1577	3	9.39
133	786	26	48.05
5756	109	6	7.01
2460	180	8	27.74
1899	2501	3	19.51
1767	106	47	103.71
1428	551	7	32.9
104	1986	27	14.06
193	14937	3	25.33
157	914	19	43.01
7406	148	6	28.52
260	116	79	64.06
627	893	3	7.06
316	12	179	21.14
118	508	29	14.86
123	14603	3	10.96
5543	184	3	9.27
128	121	298	97.3
586	934	3	6.79
291	1218	6	16.58
1685	474	3	9.77
804	770	3	7.91
2018	8804	7	93.57
1695	322	4	11.23
11313	121	5	24.5
107	10580	4	9.26
103	2207	26	15.57
167	2048	5	8.26
2554	628	10	70.16
115	1252	14	7.24
128	16684	3	16.37
9142	107	7	24.29
250	465	8	10.79
530	1003	3	6.77
711	10624	3	29.51
523	9001	7	73.82
652	2036	7	39.89
1809	346	3	7.92
108	1035	29	16.71
592	715	4	9.42
1648	8165	8	102.99
545	3826	3	15.14
448	680	5	11.11
2757	12920	4	57.04
232	253	17	20.89
3941	317	18	174.19
10331	131	3	9.39
161	10548	3	13.16
12	610	114	36.72
452	2225	3	10.6
445	4720	3	16.45
1302	8068	4	38.9
6279	106	8	7.16
102	5197	11	8.15
11558	1747	3	32.08
1253	105	36	10.05
733	485	4	8.15
884	1507	7	39.62
6986	147	3	8
180	1998	42	318.74
160	4776	3	7.07
532	1505	22	167.75
1672	103	35	21.19
354	4723	3	15.19
105	1202	35	7.37
8	19067	3	18.85
1554	1121	3	13.83
628	120	23	10.68
4928	12	14	8.82
181	733	8	7.42
4856	116	6	10.8
107	127	469	45.79
186	1586	5	7.43
1181	214	5	7.78
343	5795	3	15.89
1828	169	5	6.9
971	12	65	11.52
10989	12994	4	74.36
709	835	3	7.53
118	12479	4	19.45
2163	189	4	6.81
2028	873	3	13.51
4545	105	16	33.81
405	898	6	17.97
3176	178	4	8.86
2247	178	5	9.53
358	146	27	27.43
413	135	17	6.64
562	1173	3	7.91
140	258	27	6.71
101	9347	7	7.03
354	2880	4	17.13
529	322	9	19.92
279	230	13	12.69
3244	2790	6	58.23
2791	376	3	10.74
1092	419	4	10.83
107	223	101	10.26
1902	447	3	9.67
13437	111	3	6.81
3650	6053	6	75.33
213	18555	3	25.09
2303	276	3	7.69
102	2954	18	8.33
105	1306	43	27.83
4886	355	3	15.05
9237	105	6	7.79
441	233	9	10.92
656	324	5	8.21
